,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,Delta,OV,OV-Change,OV-Mean,Change,Ratio,Result
8,VEDL,13-Mar-2020,26-Mar-2020,CE,110,0.5,1.65,0.35,1.4,1.5,1.4,533,2071.25,19.2,1344000,-472500,84.05,13,-240.96428571428575,-169.4941341450901,-322.9266547406082,179.99999999999997,0.7461889013399684,8.18181818181819
9,VEDL,16-Mar-2020,26-Mar-2020,CE,110,1.05,1.1,0.65,0.85,0.8,0.85,143,555.05,4.5,1316000,-28000,74.85,10,-413.52941176470597,41.729831335094495,-363.44963369963375,-19.04761904761905,1.1377901459283344,2.449567723342923
10,VEDL,17-Mar-2020,26-Mar-2020,CE,110,0.9,0.95,0.4,0.5,0.45,0.5,163,631.87,4.32,1295000,-21000,75.0,9,-630.0,34.36041083099906,-434.6261042878691,-44.44444444444445,1.44952177005624,12.592592592592592
11,VEDL,18-Mar-2020,26-Mar-2020,CE,110,0.6,0.6,0.4,0.5,0.5,0.5,127,490.97,2.02,1162000,-133000,72.95,8,-592.8,-6.275303643724704,-428.16456582633054,-16.666666666666664,1.3845143837532035,-1.6581632653061367
12,VEDL,19-Mar-2020,26-Mar-2020,CE,110,0.25,0.4,0.25,0.35,0.35,0.35,107,413.27,1.32,938000,-224000,69.35,7,-813.0000000000002,27.084870848708515,-545.443137254902,39.99999999999999,1.4905311745082253,-3.1565656565656566
13,VEDL,20-Mar-2020,26-Mar-2020,CE,110,0.25,0.3,0.15,0.2,0.15,0.2,81,312.56,0.71,903000,-35000,75.45,6,-1036.4999999999998,21.562952243125867,-678.6,-19.999999999999996,1.5274093722369582,3.148751357220419
14,VEDL,23-Mar-2020,26-Mar-2020,CE,110,0.15,0.3,0.05,0.2,0.2,0.2,105,404.84,0.59,749000,-154000,62.65,3,-710.25,-45.934530095036926,-814.1,33.33333333333335,0.8724358186954919,5.017502917152855
15,VEDL,24-Mar-2020,26-Mar-2020,CE,110,0.1,0.1,0.05,0.1,0.1,0.1,15,57.8,0.05,721000,-28000,62.8,2,-944.0,24.76165254237288,-853.25,0.0,1.106358042777615,0.0
16,VEDL,25-Mar-2020,26-Mar-2020,CE,110,0.05,0.1,0.05,0.05,0.05,0.05,16,61.63,0.03,682500,-38500,64.2,1,-915.9999999999999,-3.056768558951978,-896.9166666666666,0.0,1.0212765957446808,-0.8888888888888857
17,VEDL,26-Mar-2020,26-Mar-2020,CE,110,0.05,0.2,0.05,0.05,0.05,65.8,53,204.18,0.13,665000,-17500,65.8,0,-0.0,-inf,-856.75,0.0,0.0,
0,VEDL,01-Apr-2020,30-Apr-2020,CE,60,10.3,10.3,8.6,8.85,8.8,8.85,104,252.34,33.94,294000,28000,62.65,29,8.683615819209034,,,-14.077669902912632,,-0.9708737864077808
1,VEDL,03-Apr-2020,30-Apr-2020,CE,60,8.65,8.9,8.05,8.25,8.15,8.25,114,272.89,33.49,283500,-10500,62.8,27,9.163636363636353,5.238319433234636,,-4.624277456647403,,-7.142857142857142
2,VEDL,07-Apr-2020,30-Apr-2020,CE,60,10.5,10.75,9.0,10.45,10.4,10.45,151,370.42,53.32,301000,17500,66.75,23,14.856459330143542,38.31884057971022,,-0.476190476190483,,-30.985915492957737
3,VEDL,08-Apr-2020,30-Apr-2020,CE,60,11.2,15.2,11.0,13.0,13.4,13.0,102,259.01,44.81,269500,-31500,70.3,22,17.430769230769226,14.76876818540772,10.90123717099631,16.071428571428577,1.5989716540747598,-30.000000000000004
4,VEDL,09-Apr-2020,30-Apr-2020,CE,60,16.0,18.85,15.65,18.6,18.85,18.6,46,123.17,26.57,252000,-17500,76.8,21,18.967741935483865,8.103087388801672,13.816954974849708,16.250000000000007,1.372787417344116,-19.23076923076923
5,VEDL,13-Apr-2020,30-Apr-2020,CE,60,16.5,19.75,16.5,19.5,19.2,19.5,13,35.49,8.19,252000,0,78.3,17,15.953846153846152,-18.89134289358258,17.084990165465545,18.181818181818183,0.9337931130972605,-5.263157894736835
6,VEDL,15-Apr-2020,30-Apr-2020,CE,60,20.25,22.25,19.8,19.95,20.05,19.95,32,91.15,23.95,259000,7000,78.6,15,13.984962406015033,-14.078577336641882,17.450785773366416,-1.481481481481485,0.801394423588595,-36.84210526315789
7,VEDL,16-Apr-2020,30-Apr-2020,CE,60,22.3,24.5,22.3,23.8,23.8,23.8,15,44.06,12.56,241500,-17500,82.7,14,13.352941176470589,-4.733198635354865,16.30218349844835,6.726457399103139,0.8190891224934088,14.285714285714299
8,VEDL,17-Apr-2020,30-Apr-2020,CE,60,24.45,24.45,23.85,23.85,23.85,24.35,3,8.84,2.54,241500,0,84.1,13,13.136268343815509,-1.6494245320215954,14.430583245443925,-2.453987730061341,0.9103075128971615,60.00000000000001
9,VEDL,20-Apr-2020,30-Apr-2020,CE,60,24.5,25.0,24.0,25.0,25.0,21.6,3,8.87,2.57,241500,0,81.45,10,8.580000000000002,-53.10336065053038,13.491390642100376,2.0408163265306123,0.6359611271817895,-7.142857142857134
10,VEDL,21-Apr-2020,30-Apr-2020,CE,60,16.0,18.7,15.4,18.7,18.7,18.7,23,61.29,12.99,168000,-73500,78.45,9,8.879679144385028,3.3748870822041463,11.689736506762033,16.874999999999996,0.7596132846320786,-26.66666666666666
11,VEDL,22-Apr-2020,30-Apr-2020,CE,60,16.0,16.0,16.0,16.0,16.0,16.25,2,5.32,1.12,168000,0,76.1,8,8.049999999999997,-10.306573222174297,10.198649162733512,0.0,0.7893202199184565,-37.50000000000001
12,VEDL,23-Apr-2020,30-Apr-2020,CE,60,17.8,18.15,17.7,17.7,17.7,17.7,7,19.08,4.38,161000,-7000,77.6,7,6.960451977401128,-15.653409090909081,8.503226381461676,-0.5617977528089967,0.8185659966169981,-19.999999999999996
13,VEDL,24-Apr-2020,30-Apr-2020,CE,60,19.3,19.3,19.3,19.3,19.3,18.0,1,2.78,0.68,161000,0,77.95,6,5.580310880829016,-24.732333485461247,7.963377040595385,0.0,0.7007467877487064,-33.33333333333333
14,VEDL,27-Apr-2020,30-Apr-2020,CE,60,18.9,19.1,18.9,19.1,19.1,18.45,4,11.06,2.66,161000,0,78.45,3,2.897905759162304,-92.56357330412682,6.863587619410048,1.0582010582010732,0.42221443359550065,0.0
15,VEDL,28-Apr-2020,30-Apr-2020,CE,60,17.1,17.1,17.1,17.1,17.1,16.85,1,2.7,0.6,157500,-3500,76.85,2,1.9707602339181278,-47.045069678562065,5.14622287246415,0.0,0.382952756372651,-50.0
16,VEDL,29-Apr-2020,30-Apr-2020,CE,60,0.0,0.0,0.0,17.1,17.1,19.15,0,0.0,0.0,157500,0,79.15,1,1.1198830409356728,-75.97911227154034,3.4829922913031495,inf,0.321529003590379,0.0
17,VEDL,30-Apr-2020,30-Apr-2020,CE,60,23.9,29.5,23.9,29.5,29.5,89.55,7,20.91,6.21,140000,-17500,-,0,0.0,-inf,1.9961830113387016,23.430962343096244,0.0,
0,VEDL,04-May-2020,28-May-2020,CE,70,14.1,14.1,12.6,12.95,13.1,12.95,17,49.62,7.97,59500,7000,79.95,24,18.440154440154444,,,-8.156028368794328,,22.448979591836725
1,VEDL,05-May-2020,28-May-2020,CE,70,13.5,14.2,12.4,12.45,12.4,12.45,26,75.87,12.17,70000,10500,78.9,23,16.4417670682731,-12.154334528540646,,-7.777777777777784,,-13.33333333333333
2,VEDL,06-May-2020,28-May-2020,CE,70,13.65,13.65,12.35,12.4,12.4,12.4,8,23.2,3.6,70000,0,79.45,22,16.766129032258068,1.9346264326183649,,-9.157509157509157,,-7.142857142857134
